  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.13 37815.74     53.05  2279914     0.02     0.03  REXML::Child#parent=
  0.13 37868.03     52.29  2282363     0.02    43.69  REXML::XPathParser#d_o_s
  0.13 37919.16     51.13   722064     0.07     0.51  REXML::Attributes#namespaces
  0.13 37969.29     50.13   738364     0.07     3.26  REXML::Parsers::XPathParser#parse
  0.12 38018.57     49.28   518964     0.09     0.73  REXML::Attributes#[]=
  0.12 38066.98     48.41  2710628     0.02     0.02  IO::readable.readline
  0.12 38114.17     47.19   911224     0.05     0.07  REXML::Element#whitespace
  0.12 38160.40     46.23  1341989     0.03     0.05  Set#each
  0.11 38205.61     45.21   340564     0.13     1.70  SQLite3::Database#prepare
  0.11 38249.53     43.92   911224     0.05     0.73  REXML::Text#parent=
  0.11 38291.78     42.25  3993056     0.01     0.01  Regexp#match
  0.11 38333.75     41.97  2341431     0.02     0.03  Kernel.!~
  0.10 38374.61     40.86   722307     0.06     0.10  Hash#each_value
  0.10 38414.53     39.92   340530     0.12     1.85  SQLite3::Database#execute
  0.09 38451.10     36.57  5750635     0.01     0.01  Array#replace
  0.09 38487.29     36.19   400259     0.09     0.10  SQLite3::Statement#step
  0.09 38522.94     35.65   722064     0.05     1.28  REXML::Element#namespaces
  0.09 38557.81     34.87   854964     0.04     0.47  REXML::Attribute#doctype
  0.09 38591.76     33.95  5605219     0.01     0.01  Fixnum#<
  0.08 38625.39     33.63   518964     0.06     0.12  REXML::Attribute#initialize
  0.08 38658.78     33.39  1395397     0.02     0.17  REXML::Child#initialize
  0.08 38690.40     31.62  1368690     0.02     0.20  REXML::Parent#initialize
  0.07 38720.03     29.63  2760876     0.01     0.01  String#scan
  0.07 38749.26     29.23  4816907     0.01     0.01  BasicObject#==
  0.07 38776.88     27.62   738364     0.04    43.93  REXML::XPathParser#parse
  0.07 38803.35     26.47  3543303     0.01     0.01  Array#concat
  0.06 38826.96     23.61  1341992     0.02     0.35  Hash#each
  0.06 38850.50     23.54   654804     0.04    20.37  REXML::Elements#[]
  0.06 38873.23     22.73   340530     0.07     0.17  SQLite3::Statement#get_metadata
  0.06 38895.84     22.61  3701955     0.01     0.01  Kernel.taint
  0.06 38917.95     22.11  3259474     0.01     0.01  Array#+
  0.05 38939.84     21.89   518964     0.04     0.60  REXML::Attribute#element=
  0.05 38961.63     21.79   911224     0.02     0.03  REXML::Element#ignore_whitespace_nodes
  0.05 38982.96     21.33   625167     0.03     0.06  REXML::Text#unnormalize
  0.05 39004.23     21.27  3271135     0.01     0.01  Fixnum#+
