  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint#flush
  0.00 39898.76      0.00        1     0.00    10.00  PP#pp
  0.00 39898.76      0.00        1     0.00    10.00  Kernel.pretty_inspect
  0.00 39898.76      0.00        1     0.00    10.00  #<Class:Pry>#delegate_accessors
  0.00 39898.76      0.00        1     0.00     0.00  Pry::PluginManager#initialize
  0.00 39898.76      0.00        4     0.00     2.50  OpenStruct#initialize
  0.00 39898.76      0.00        6     0.00     0.00  Kernel.method
  0.00 39898.76      0.00        1     0.00     0.00  Pry::History#restore_default_behavior
  0.00 39898.76      0.00        1     0.00     0.00  Pry::History#initialize
  0.00 39898.76      0.00        1     0.00     0.00  Pry::Config#input=
  0.00 39898.76      0.00        1     0.00     0.00  Pry::Config#hooks=
  0.00 39898.76      0.00        2     0.00     0.00  Pry::Helpers::BaseHelpers.windows_ansi?
  0.00 39898.76      0.00        2     0.00     0.00  Pry::Helpers::BaseHelpers.use_ansi_codes?
  0.00 39898.76      0.00        1     0.00     0.00  Kernel.system
  0.00 39898.76      0.00        1     0.00     0.00  Enumerable.detect
  0.00 39898.76      0.00        1     0.00     0.00  Pry#default_editor_for_platform
  0.00 39898.76      0.00        7     0.00     0.00  Symbol#id2name
  0.00 39898.76      0.00        7     0.00     0.00  String#chomp!
  0.00 39898.76      0.00        6     0.00     0.00  OpenStruct#modifiable
  0.00 39898.76      0.00        6     0.00     0.00  String#to_sym
  0.00 39898.76      0.00        4     0.00     0.00  Array#-
  0.00 39898.76      0.00        7     0.00     0.00  OpenStruct#method_missing
  0.00 39898.76      0.00        1     0.00     0.00  #<OpenStruct should_save=true, should_load=true, file="/home/james/.pry_history">.file
  0.00 39898.76      0.00       36     0.00     0.00  Symbol#to_sym
  0.00 39898.76      0.00        2     0.00     0.00  Symbol#to_proc
  0.00 39898.76      0.00        1     0.00    10.00  Pry#set_config_defaults
  0.00 39898.76      0.00        1     0.00     0.00  CodeRay::PluginHost.extended
  0.00 39898.76      0.00        3     0.00     0.00  CodeRay::PluginHost.plugin_path
  0.00 39898.76      0.00        2     0.00     0.00  CodeRay::Plugin.plugin_host
  0.00 39898.76      0.00        4     0.00     2.50  FileUtils.collect_method
  0.00 39898.76      0.00        1     0.00    10.00  PP::PPMethods.guard_inspect_key
  0.00 39898.76      0.00       19     0.00     0.00  CodeRay::PluginHost.validate_id
  0.00 39898.76      0.00        2     0.00     0.00  Kernel.singleton_methods
  0.00 39898.76      0.00        1     0.00     0.00  CodeRay::PluginHost.make_plugin_hash
  0.00 39898.76      0.00        2     0.00     0.00  CodeRay::PluginHost.path_to
  0.00 39898.76      0.00       18     0.00     0.00  CodeRay::PluginHost.plugin_hash
  0.00 39898.76      0.00       17     0.00     0.00  FileUtils.private_module_function
  0.00 39898.76      0.00        1     0.00     0.00  CodeRay::PluginHost.map
  0.00 39898.76      0.00        1     0.00     0.00  CodeRay::PluginHost.load_plugin_map
  0.00 39898.76      0.00       17     0.00     0.00  Module#private_class_method
  0.00 39898.76      0.00        1     0.00     0.00  CodeRay::PluginHost.register
  0.00 39898.76      0.00        1     0.00     0.00  CodeRay::Plugin.register_for
  0.00 39898.76      0.00        1     0.00    10.00  CodeRay::PluginHost.[]
  0.00 39898.76      0.00        1     0.00    10.00  CodeRay::PluginHost.const_missing
  0.00 39898.76      0.00        1     0.00    10.00  Pry#fix_coderay_colors
  0.00 39898.76      0.00        1     0.00    20.00  Pry#reset_defaults
  0.00 39898.76      0.00        1     0.00     0.00  Gem.refresh
  0.00 39898.76      0.00        1     0.00     0.00  Module#public_instance_methods
  0.00 39898.76      0.00        1     0.00   350.00  Pry::PluginManager#locate_plugins
  0.00 39898.76      0.00        1     0.00   350.00  Pry#locate_plugins
  0.00 39898.76      0.00        1     0.00   370.00  Pry#init
  0.00 39898.76      0.00        1     0.00     0.00  Pry::CLI#reset
  0.00 39898.76      0.00        8     0.00     0.00  Module#undef_method
  0.00 39898.76      0.00        1     0.00     0.00  Proc#arity
  0.00 39898.76      0.00        1     0.00     0.00  Slop#extract_short_flag
  0.00 39898.76      0.00        4     0.00     0.00  String#sub
  0.00 39898.76      0.00        3     0.00     0.00  Slop#clean
  0.00 39898.76      0.00        1     0.00     0.00  Slop#extract_long_flag
  0.00 39898.76      0.00        9     0.00     0.00  Module#method_undefined
  0.00 39898.76      0.00        1     0.00    10.00  Slop::Option#initialize
  0.00 39898.76      0.00        1     0.00    10.00  Slop#build_option
  0.00 39898.76      0.00        1     0.00    10.00  Slop#on
  0.00 39898.76      0.00        1     0.00    10.00  Slop#initialize
  0.00 39898.76      0.00        2     0.00     0.00  Slop#fetch_option
  0.00 39898.76      0.00        1     0.00     0.00  Slop#extract_option
  0.00 39898.76      0.00        2     0.00     0.00  Slop#strict?
  0.00 39898.76      0.00        2     0.00     0.00  Slop#process_item
  0.00 39898.76      0.00        1     0.00     0.00  Module#initialize_copy
  0.00 39898.76      0.00        2     0.00     0.00  Array#reject!
  0.00 39898.76      0.00        1     0.00     0.00  Enumerator#with_index
  0.00 39898.76      0.00        1     0.00     0.00  Slop::Option#required?
  0.00 39898.76      0.00        2     0.00     0.00  Enumerable.any?
  0.00 39898.76      0.00        1     0.00     0.00  Slop#parse!
  0.00 39898.76      0.00        1     0.00     0.00  Slop#parse
  0.00 39898.76      0.00        1     0.00     0.00  Pry::PluginManager#plugins
  0.00 39898.76      0.00        1     0.00     0.00  Pry#plugins
  0.00 39898.76      0.00        1     0.00     0.00  Pry::CLI#add_plugin_options
  0.00 39898.76      0.00        1     0.00     0.00  Pry::CLI#add_options
  0.00 39898.76      0.00        1     0.00     0.00  Pry::CLI#process_options
  0.00 39898.76      0.00       10     0.00     0.00  CodeRay.coderay_path
  0.00 39898.76      0.00        1     0.00     0.00  Time#gm
  0.00 39898.76      0.00        3     0.00     0.00  OptionParser::List#initialize
  0.00 39898.76      0.00        6     0.00     0.00  Proc#new
  0.00 39898.76      0.00       10     0.00     0.00  OptionParser::Switch#initialize
  0.00 39898.76      0.00       17     0.00     0.00  OptionParser#top
  0.00 39898.76      0.00       13     0.00     0.00  OptionParser::List#accept
  0.00 39898.76      0.00       13     0.00     0.00  OptionParser#accept
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser::Arguable.extend_object
  0.00 39898.76      0.00        3     0.00     0.00  MethodSource::MethodExtensions.included
  0.00 39898.76      0.00        1     0.00     0.00  String#*
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser#base
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser#add_officious
  0.00 39898.76      0.00        3     0.00     0.00  Pry::Helpers::BaseHelpers.mri_18?
  0.00 39898.76      0.00        1     0.00     0.00  Dir#pwd
  0.00 39898.76      0.00       52     0.00     0.00  OptionParser::List#search
  0.00 39898.76      0.00       18     0.00     0.00  Array#reverse_each
  0.00 39898.76      0.00       18     0.00     0.00  OptionParser#visit
  0.00 39898.76      0.00       17     0.00     0.00  OptionParser#search
  0.00 39898.76      0.00       36     0.00     0.00  Symbol#===
  0.00 39898.76      0.00        4     0.00     0.00  OptionParser#notwice
  0.00 39898.76      0.00        4     0.00     0.00  Module#>=
  0.00 39898.76      0.00        4     0.00     0.00  OptionParser::Switch::NoArgument#incompatible_argument_styles
  0.00 39898.76      0.00        4     0.00     2.50  OptionParser::Switch#guess
  0.00 39898.76      0.00        4     0.00     2.50  OptionParser#make_switch
  0.00 39898.76      0.00        8     0.00     0.00  Hash#invert
  0.00 39898.76      0.00        4     0.00     0.00  Hash#update
  0.00 39898.76      0.00       30     0.00     0.00  Kernel.proc
  0.00 39898.76      0.00        4     0.00     0.00  OptionParser::List#update
  0.00 39898.76      0.00        4     0.00     0.00  OptionParser::List#append
  0.00 39898.76      0.00        4     0.00     2.50  OptionParser#define
  0.00 39898.76      0.00        4     0.00     2.50  OptionParser#on
  0.00 39898.76      0.00        1     0.00    10.00  OptionParser#initialize
  0.00 39898.76      0.00        1     0.00     0.00  ENV.include?
  0.00 39898.76      0.00        2     0.00     0.00  Method#to_proc
  0.00 39898.76      0.00        1     0.00    10.00  Pry::Hooks#add_hook
  0.00 39898.76      0.00        1     0.00     0.00  MatchData#to_a
  0.00 39898.76      0.00        1     0.00     0.00  String#rindex
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser::Switch#parse_arg
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser::Switch#conv_arg
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser::Switch::RequiredArgument#parse
  0.00 39898.76      0.00        1     0.00     0.00  Kernel.catch
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser#parse_in_order
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser#order!
  0.00 39898.76      0.00        1     0.00     0.00  Array#[]=
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser#permute!
  0.00 39898.76      0.00        1     0.00     0.00  OptionParser#parse!
  0.00 39898.76      0.00        2     0.00     0.00  File#initialize
  0.00 39898.76      0.00        1     0.00     0.00  IO#open
  0.00 39898.76      0.00        1     0.00     0.00  IO#each_line
  0.00 39898.76      0.00        1     0.00     0.00  ManualEntries#initialize
  0.00 39898.76      0.00        2     0.00    10.00  Array#pretty_print
  0.00 39898.76      0.00        2     0.00     0.00  Meta::Core::Primitive#setDatabase
  0.00 39898.76      0.00        1     0.00    10.00  Meta::Database#initialize
  0.00 39898.76      0.00        2     0.00    10.00  PP::PPMethods.seplist
  0.00 39898.76      0.00        1     0.00     0.00  Pry::Hooks#initialize
  0.00 39898.76      0.00        3     0.00     0.00  Kernel.inspect
  0.00 39898.76      0.00     1279     0.00     0.00  Bignum#-
  0.00 39898.76      0.00       34     0.00     0.00  SQLite3::Statement#bind_parameter_count
  0.00 39898.76      0.00      214     0.00     0.00  Fixnum#<<
  0.00 39898.76      0.00       13     0.00     0.00  HTTPClient#attr_proxy
  0.00 39898.76      0.00        1     0.00     0.00  HTTPClient::Site#initialize
  0.00 39898.76      0.00        1     0.00     0.00  HTTPClient::Util.urify
  0.00 39898.76      0.00        1     0.00     0.00  URI.parse
  0.00 39898.76      0.00        1     0.00  2420.00  SQLite3::Database#execute_batch
  0.00 39898.76      0.00        1     0.00  2420.00  Meta::Database#resetTables
  0.00 39898.76      0.00        2     0.00     0.00  Meta::MusicBrainz::Primitive#setService
  0.00 39898.76      0.00        1     0.00     0.00  Meta::MusicBrainz::Service#initialize
  0.00 39898.76      0.00        1     0.00     0.00  TopFolder#initialize
  0.00 39898.76      0.00        1     0.00     0.00  URI::Parser#parse
  0.00 39898.76      0.00        1     0.00     0.00  URI::HTTP#initialize
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#initialize
  0.00 39898.76      0.00        4     0.00     0.00  URI::Generic#default_port
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_fragment
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_registry
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_opaque
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_query
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_path
  0.00 39898.76      0.00        7     0.00     0.00  PrettyPrint::Text#add
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint::Text#initialize
  0.00 39898.76      0.00        2     0.00     0.00  URI::Generic#set_port
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_host
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_userinfo
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#split_userinfo
  0.00 39898.76      0.00        1     0.00     0.00  URI::Generic#set_scheme
  0.00 39898.76      0.00        5     0.00     0.00  Hash#include?
  0.00 39898.76      0.00        2     0.00     0.00  URI.scheme_list
  0.00 39898.76      0.00        1     0.00     0.00  URI::Parser#split
  0.00 39898.76      0.00        1     0.00     0.00  Kernel.caller
  0.00 39898.76      0.00       75     0.00     0.00  Regexp#to_s
  0.00 39898.76      0.00        1     0.00     0.00  OpenSSL::X509::Store#flags=
  0.00 39898.76      0.00        1     0.00     0.00  OpenSSL::X509::Store#set_default_paths
  0.00 39898.76      0.00        1     0.00     0.00  OpenSSL::X509::Store#initialize
  0.00 39898.76      0.00       49     0.00     0.00  Class#initialize
  0.00 39898.76      0.00        6     0.00     0.00  Kernel.raise
  0.00 39898.76      0.00        6     0.00    46.67  Gem.try_activate
  0.00 39898.76      0.00        6     0.00    41.67  Gem::Specification#find_by_path
  0.00 39898.76      0.00        7     0.00    85.71  Gem::Specification#each
  0.00 39898.76      0.00        7     0.00     0.00  Proc#call
  0.00 39898.76      0.00      114     0.00     0.00  Gem.suffixes
  0.00 39898.76      0.00        1     0.00     0.00  PP::PPMethods.comma_breakable
  0.00 39898.76      0.00       20     0.00     0.00  Gem::Specification#original_name
  0.00 39898.76      0.00       38     0.00     0.00  File#directory?
  0.00 39898.76      0.00       58     0.00     0.00  Gem::Specification#gems_dir
  0.00 39898.76      0.00       38     0.00     0.00  Gem::Specification#base_dir
  0.00 39898.76      0.00        7     0.00    80.00  Gem::Specification#_all
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Specification#_resort!
  0.00 39898.76      0.00        2     0.00     0.00  Array#sort!
  0.00 39898.76      0.00      126     0.00     0.00  Numeric#nonzero?
  0.00 39898.76      0.00      126     0.00     0.00  Fixnum#zero?
  0.00 39898.76      0.00       15     0.00     0.00  Hash#values
  0.00 39898.76      0.00       10     0.00     0.00  Gem::Specification#test_files=
  0.00 39898.76      0.00      213     0.00     0.00  Fixnum#fdiv
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint#breakable
  0.00 39898.76      0.00        8     0.00     0.00  PrettyPrint#break_outmost_groups
  0.00 39898.76      0.00      426     0.00     0.00  Float#/
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Specification#has_rdoc=
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint::Breakable#initialize
  0.00 39898.76      0.00      213     0.00     0.00  Rational#*
  0.00 39898.76      0.00      639     0.00     0.00  Rational#coerce
  0.00 39898.76      0.00      213     0.00     0.00  Bignum#+
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint#current_group
  0.00 39898.76      0.00        2     0.00     0.00  PrettyPrint::Group#break?
  0.00 39898.76      0.00        4     0.00     7.50  PP::PPMethods.pp
  0.00 39898.76      0.00        4     0.00     2.50  PP::PPMethods.pop_inspect_key
  0.00 39898.76      0.00        6     0.00     6.67  PrettyPrint#group
  0.00 39898.76      0.00       16     0.00     1.25  Gem::Specification#add_runtime_dependency
  0.00 39898.76      0.00      852     0.00     0.00  Bignum#*
  0.00 39898.76      0.00        6     0.00     6.67  PrettyPrint#group_sub
  0.00 39898.76      0.00       16     0.00     0.00  Gem::Specification#required_ruby_version=
  0.00 39898.76      0.00        6     0.00     0.00  PrettyPrint::GroupQueue#delete
  0.00 39898.76      0.00        6     0.00     6.67  PrettyPrint#nest
  0.00 39898.76      0.00        2     0.00     0.00  Numeric#pretty_print
  0.00 39898.76      0.00       15     0.00     0.00  PrettyPrint#text
  0.00 39898.76      0.00        4     0.00     0.00  PP::PPMethods.push_inspect_key
  0.00 39898.76      0.00        4     0.00     0.00  PP::PPMethods.check_inspect_key
  0.00 39898.76      0.00        4     0.00     0.00  Kernel.object_id
  0.00 39898.76      0.00        1     0.00  5380.00  Meta::Database#insertDiscsFromTracks
  0.00 39898.76      0.00      351     0.00     1.48  SQLite3::Database#commit
  0.00 39898.76      0.00      351     0.00     1.48  Meta::Database#endLUW
  0.00 39898.76      0.00        2     0.00     0.00  Kernel.untrust
  0.00 39898.76      0.00        1     0.00   330.00  Meta::Database#selectAllDiscs
  0.00 39898.76      0.00        1     0.00     0.00  IO#new
  0.00 39898.76      0.00        1     0.00     0.00  Hash#==
  0.00 39898.76      0.00       26     0.00     0.00  Thread#[]
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint#initialize
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint::GroupQueue#initialize
  0.00 39898.76      0.00        7     0.00     0.00  PrettyPrint::GroupQueue#enq
  0.00 39898.76      0.00       96     0.00     0.00  Gem::Specification#platform
  0.00 39898.76      0.00        1     0.00     0.00  Etc.systmpdir
  0.00 39898.76      0.00        7     0.00     0.00  PrettyPrint::Group#initialize
  0.00 39898.76      0.00       12     0.00    17.50  Pry::CommandSet#alias_command
  0.00 39898.76      0.00       12     0.00    17.50  Pry::CommandSet#find_command
  0.00 39898.76      0.00       12     0.00     0.83  Pry::Command#match_score
  0.00 39898.76      0.00       12     0.00     0.00  MatchData#end
  0.00 39898.76      0.00     1189     0.00     0.01  Base64.strict_encode64
  0.00 39898.76      0.00       38     0.00    14.74  Gem::Specification#load
  0.00 39898.76      0.00       38     0.00     0.00  Gem::Specification#loaded_from=
  0.00 39898.76      0.00       12     0.00     0.00  MatchData#size
  0.00 39898.76      0.00       24     0.00     0.00  Regexp#last_match
  0.00 39898.76      0.00      521     0.00     0.36  Pry::Command#matches?
  0.00 39898.76      0.00        1     0.00     0.00  Module#instance_methods
  0.00 39898.76      0.00        1     0.00     0.00  Delegator#public_api
  0.00 39898.76      0.00        3     0.00     3.33  BasicObject#instance_eval
  0.00 39898.76      0.00      108     0.00     0.00  Gem::Specification#dependencies
  0.00 39898.76      0.00       19     0.00     0.00  Pry::CommandSet#block_command
  0.00 39898.76      0.00        2     0.00     0.00  Pry::CommandSet#disabled_command
  0.00 39898.76      0.00      109     0.00     0.00  Array#first
  0.00 39898.76      0.00       38     0.00     2.63  Comparable.>=
  0.00 39898.76      0.00        2     0.00     0.00  Pry::CommandSet#create_command
  0.00 39898.76      0.00       78     0.00     0.00  Fixnum#<=
  0.00 39898.76      0.00       80     0.00     1.13  Gem::Version#segments
  0.00 39898.76      0.00       38     0.00     0.00  Gem::Specification#summary=
  0.00 39898.76      0.00       20     0.00     0.00  Gem::Specification#rdoc_options=
  0.00 39898.76      0.00       24     0.00     0.00  Gem::Specification#licenses=
  0.00 39898.76      0.00       36     0.00     0.00  Gem::Specification#files=
  0.00 39898.76      0.00       26     0.00     0.00  Gem::Specification#extra_rdoc_files=
  0.00 39898.76      0.00        4     0.00     0.00  Gem::Specification#extensions=
  0.00 39898.76      0.00       32     0.00     0.00  Gem::Specification#description=
  0.00 39898.76      0.00       21     0.00     0.00  Pry::Command#subclass
  0.00 39898.76      0.00       38     0.00     0.00  Gem::Specification#authors=
  0.00 39898.76      0.00       38     0.00     0.00  Enumerable.grep
  0.00 39898.76      0.00      174     0.00     0.00  Kernel.Array
  0.00 39898.76      0.00       38     0.00     0.00  Gem::Specification#required_rubygems_version=
  0.00 39898.76      0.00      162     0.00     0.37  Gem::Requirement#create
  0.00 39898.76      0.00       38     0.00     0.26  Gem::Specification#version=
  0.00 39898.76      0.00       38     0.00     0.00  Gem::Version#prerelease?
  0.00 39898.76      0.00       38     0.00     0.26  Gem::Version#create
  0.00 39898.76      0.00       76     0.00     0.00  Kernel.initialize_copy
  0.00 39898.76      0.00      722     0.00     0.00  Gem::Specification#default_value
  0.00 39898.76      0.00        8     0.00     0.00  Regexp#hash
  0.00 39898.76      0.00       38     0.00     0.00  Kernel.binding
  0.00 39898.76      0.00        5     0.00     0.00  Regexp#inspect
  0.00 39898.76      0.00      114     0.00     0.00  Kernel.untaint
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Specification#dirs
  0.00 39898.76      0.00        2     0.00     0.00  Gem.path
  0.00 39898.76      0.00        2     0.00     0.00  Gem.paths
  0.00 39898.76      0.00        1     0.00     0.00  Gem::PathSupport#initialize
  0.00 39898.76      0.00        1     0.00     0.00  Gem::PathSupport#path=
  0.00 39898.76      0.00        2     0.00     0.00  Array#uniq
  0.00 39898.76      0.00        2     0.00     0.00  Gem.default_path
  0.00 39898.76      0.00        1     0.00     0.00  Gem.user_dir
  0.00 39898.76      0.00        1     0.00     0.00  Gem.ruby_engine
  0.00 39898.76      0.00        2     0.00     0.00  File#exist?
  0.00 39898.76      0.00        2     0.00     0.00  Gem.user_home
  0.00 39898.76      0.00        1     0.00     0.00  Gem.find_home
  0.00 39898.76      0.00       63     0.00     0.00  File#expand_path
  0.00 39898.76      0.00        2     0.00     0.00  Gem.default_dir
  0.00 39898.76      0.00      129     0.00     0.00  File#join
  0.00 39898.76      0.00        2     0.00     5.00  Hash#default
  0.00 39898.76      0.00        2     0.00     5.00  Proc#yield
  0.00 39898.76      0.00       13     0.00     0.00  ENV.[]
  0.00 39898.76      0.00        1     0.00     0.00  Gem.clear_paths
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Specification#reset
  0.00 39898.76      0.00        1     0.00     0.00  Enumerable.partition
  0.00 39898.76      0.00        1     0.00     0.00  Hash#reject
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Requirement#<=>
  0.00 39898.76      0.00        2     0.00     0.00  Array#to_s
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Requirement#to_s
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Requirement#as_list
  0.00 39898.76      0.00        3     0.00     0.00  Comparable.==
  0.00 39898.76      0.00        1     0.00     0.00  Time#<=>
  0.00 39898.76      0.00       43     0.00     0.00  Pry::CommandSet#add_command
  0.00 39898.76      0.00        2     0.00     0.00  Gem::Requirement#default
  0.00 39898.76      0.00       42     0.00     0.00  Pry::Command#banner
  0.00 39898.76      0.00       55     0.00     0.00  Pry::Command#group
  0.00 39898.76      0.00      105     0.00     0.00  Hash#merge!
  0.00 39898.76      0.00      651     0.00     0.02  Pry::Command#command_options
  0.00 39898.76      0.00      282     0.00     0.00  String#strip!
  0.00 39898.76      0.00       68     0.00     0.15  Pry::Command#default_options
  0.00 39898.76      0.00       47     0.00     0.00  NilClass#inspect
  0.00 39898.76      0.00      477     0.00     0.00  Kernel.class
  0.00 39898.76      0.00      177     0.00     0.00  Array#==
  0.00 39898.76      0.00      164     0.00     0.00  Array#uniq!
  0.00 39898.76      0.00      164     0.00     0.00  Array#compact!
  0.00 39898.76      0.00        1     0.00     0.00  Time#day
  0.00 39898.76      0.00        1     0.00     0.00  Time#month
  0.00 39898.76      0.00        1     0.00     0.00  Time#year
  0.00 39898.76      0.00       40     0.00     0.25  Time#utc
  0.00 39898.76      0.00      214     0.00     0.00  Numeric#quo
  0.00 39898.76      0.00      137     0.00     0.00  Pry::Command#description
  0.00 39898.76      0.00      138     0.00     0.00  Delegator#delegating_block
  0.00 39898.76      0.00        1     0.00     0.00  Pry::CommandSet#initialize
  0.00 39898.76      0.00        1     0.00     0.00  PrettyPrint::Breakable#output
  0.00 39898.76      0.00       70     0.00     0.14  Module#class_eval
  0.00 39898.76      0.00        1     0.00     0.00  Pry::CommandSet#import
  0.00 39898.76      0.00        1     0.00     0.00  Module#initialize
  0.00 39898.76      0.00        4     0.00     2.50  Forwardable.def_instance_delegators
  0.00 39898.76      0.00       48     0.00     0.00  Regexp#quote
  0.00 39898.76      0.00      148     0.00     0.00  Kernel.lambda
  0.00 39898.76      0.00       11     0.00     0.00  Module#autoload
  0.00 39898.76      0.00        8     0.00     0.00  String#end_with?
  0.00 39898.76      0.00        8     0.00     0.00  String#start_with?
  0.00 39898.76      0.00       12     0.00     0.00  Exception#message
  0.00 39898.76      0.00       12     0.00     0.00  Exception#to_s
  0.00 39898.76      0.00        6     0.00     0.00  Exception#set_backtrace
  0.00 39898.76      0.00       12     0.00     0.00  Exception#backtrace
  0.00 39898.76      0.00       12     0.00     0.00  Exception#exception
  0.00 39898.76      0.00        6     0.00     0.00  Exception#initialize
  0.00 39898.76      0.00       38     0.00     0.26  Forwardable.def_instance_delegator
  0.00 39898.76      0.00      256     0.00     0.00  Fixnum#>>
  0.00 39898.76      0.00       14     0.00     0.00  Array#delete
  0.00 39898.76      0.00        1     0.00     0.00  Pry::Helpers::BaseHelpers.rbx?
  0.00 39898.76      0.00       23     0.00     0.00  Kernel.extend
  0.00 39898.76      0.00       22     0.00     0.00  Module#extended
  0.00 39898.76      0.00       23     0.00     0.00  Module#extend_object
  0.00 39898.76      0.00      140     0.00     0.00  Array#hash
  0.00 39898.76      0.00        3     0.00     0.00  Hash#each_pair
  0.00 39898.76      0.00       75     0.00     0.00  Module#const_set
  0.00 39898.76      0.00        1     0.00     0.00  URI::Parser#initialize
  0.00 39898.76      0.00        1     0.00     0.00  URI::Parser#initialize_regexp
  0.00 39898.76      0.00        1     0.00     0.00  NilClass#to_s
  0.00 39898.76      0.00        1     0.00     0.00  URI::Parser#initialize_pattern
  0.00 39898.76      0.00        2     0.00     0.00  Module#instance_method
  0.00 39898.76      0.00      150     0.00     0.00  String#hash
  0.00 39898.76      0.00       86     0.00     0.00  Kernel.freeze
  0.00 39898.76      0.00        4     0.00     0.00  Comparable.<
  0.00 39898.76      0.00      220     0.00     0.00  String#<=>
  0.00 39898.76      0.00        1     0.00     0.00  REXML::XMLDecl#default
  0.00 39898.76      0.00        1     0.00     0.00  REXML::XMLDecl#nowrite
  0.00 39898.76      0.00       19     0.00     0.00  Module#attr_writer
  0.00 39898.76      0.00       20     0.00     0.00  Regexp#initialize
  0.00 39898.76      0.00        8     0.00     0.00  Array#join
  0.00 39898.76      0.00        2     0.00     0.00  Pry::Helpers::BaseHelpers.windows?
  0.00 39898.76      0.00        3     0.00     0.00  Range#last
  0.00 39898.76      0.00        3     0.00     0.00  String#ord
  0.00 39898.76      0.00        3     0.00     0.00  Range#first
  0.00 39898.76      0.00        2     0.00     0.00  Pry::Helpers::BaseHelpers.jruby?
  0.00 39898.76      0.00       19     0.00     0.00  Module#method_defined?
  0.00 39898.76      0.00      150     0.00     0.00  Module#public
  0.00 39898.76      0.00        5     0.00     0.00  REXML::Entity#initialize
  0.00 39898.76      0.00        1     0.00     0.00  Delegator#const_missing
  0.00 39898.76      0.00      113     0.00     0.00  Module#include
  0.00 39898.76      0.00      110     0.00     0.00  Module#included
  0.00 39898.76      0.00      113     0.00     0.00  Module#append_features
  0.00 39898.76      0.00      242     0.00     0.00  Module#private
  0.00 39898.76      0.00        1     0.00     0.00  Module#const_get
  0.00 39898.76      0.00      241     0.00     0.00  Meta::MusicBrainz::Release#mediumByDiscID
  0.00 39898.76      0.00        1     0.00    20.00  Object#DelegateClass
  0.00 39898.76      0.00       35     0.00     0.00  Module#protected
  0.00 39898.76      0.00        4     0.00   385.00  Kernel.require_relative
  0.00 39898.76      0.00      211     0.00     0.00  Module#attr_accessor
  0.00 39898.76      0.00        2     0.00     0.00  Kernel.define_singleton_method
  0.00 39898.76      0.00      418     0.00     0.00  IO#set_encoding
  0.00 39898.77      0.00        1     0.00 39898770.00  #toplevel
/usr/lib/ruby/1.9.1/profiler.rb:7:in `times': Interrupt
	from /usr/lib/ruby/1.9.1/profiler.rb:7:in `block in <module:Profiler__>'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:125:in `root'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:126:in `root'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:126:in `root'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:126:in `root'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:132:in `document'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:1061:in `get_attribute'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:987:in `[]'
	from /usr/lib/ruby/1.9.1/rexml/element.rb:231:in `namespace'
	from /usr/lib/ruby/1.9.1/rexml/xpath_parser.rb:156:in `get_namespace'
	from /usr/lib/ruby/1.9.1/rexml/xpath_parser.rb:191:in `block in expr'
	from /usr/lib/ruby/1.9.1/rexml/xpath_parser.rb:189:in `delete_if'
	from /usr/lib/ruby/1.9.1/rexml/xpath_parser.rb:189:in `expr'
