Measure Mode: wall_time
Thread ID: 10809340
Fiber ID: 12177700
Total: 7.283249
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000       21   <Class::Pry::Command>#subclass
  0.00      0.000     0.000     0.000     0.000        1   Module#initialize_copy
  0.00      0.000     0.000     0.000     0.000      141   Kernel#lambda
  0.00      0.002     0.000     0.000     0.002       86   <Class::Gem::Requirement>#create
  0.00      0.030     0.000     0.000     0.030        1   <Class::Pry>#set_config_defaults
  0.00      0.000     0.000     0.000     0.000       71   <Class::File>#join
  0.00      0.000     0.000     0.000     0.000      189   String#to_i
  0.00      0.001     0.000     0.000     0.001        3   Hash#each
  0.00      0.000     0.000     0.000     0.000       42   String#gsub
  0.00      0.001     0.000     0.000     0.000       19   Pry::CommandSet#block_command
  0.00      0.000     0.000     0.000     0.000       40   Gem::Specification#full_name
  0.00      0.000     0.000     0.000     0.000      242   Array#initialize_copy
  0.00      0.000     0.000     0.000     0.000      263   Kernel#class
  0.00      0.000     0.000     0.000     0.000      138   <Class::Delegator>#delegating_block
  0.00      0.000     0.000     0.000     0.000       42   <Class::Pry::Command>#banner
  0.00      0.000     0.000     0.000     0.000       25   String#strip
  0.00      0.000     0.000     0.000     0.000       43   Pry::CommandSet#add_command
  0.00      0.000     0.000     0.000     0.000      148   String#strip!
  0.00      0.000     0.000     0.000     0.000       42   <Class::File>#dirname
  0.00      0.000     0.000     0.000     0.000      175   Array#empty?
  0.00      0.000     0.000     0.000     0.000        1   Array#sort!
  0.00      0.000     0.000     0.000     0.000       41   <Class::Regexp>#quote
  0.00      0.009     0.000     0.000     0.009       42   Gem::Version#segments
  0.00      0.000     0.000     0.000     0.000      120   <Module::Gem>#suffixes
  0.00      7.283     0.000     0.000     7.283        2   [global]#[no method]
  0.00      0.000     0.000     0.000     0.000        1   Module#instance_methods
  0.00      0.000     0.000     0.000     0.000       75   Kernel#is_a?
  0.00      0.000     0.000     0.000     0.000       66   Module#const_set
