Measure Mode: wall_time
Thread ID: 10809340
Fiber ID: 12177700
Total: 7.283249
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        2   Kernel#define_singleton_method
  0.00      0.002     0.000     0.000     0.002        1   <Class::Class>#delegate_accessors
  0.00      0.000     0.000     0.000     0.000        6   Fixnum#-
  0.00      0.000     0.000     0.000     0.000        1   Pry::Hooks#add_hook
  0.00      0.000     0.000     0.000     0.000        9   Hash#has_key?
  0.00      0.000     0.000     0.000     0.000        1   PP::PPMethods#comma_breakable
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#open
  0.00      0.000     0.000     0.000     0.000        3   Gem::Specification#extensions=
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint::Breakable#initialize
  0.00      0.000     0.000     0.000     0.000        1   REXML::XMLDecl#encoding=
  0.00      0.000     0.000     0.000     0.000        4   OptionParser::Switch#match_nonswitch?
  0.00      0.000     0.000     0.000     0.000        2   Module#instance_method
  0.00      0.000     0.000     0.000     0.000        9   Module#method_undefined
  0.00      0.000     0.000     0.000     0.000        1   Hash#==
  0.00      0.000     0.000     0.000     0.000        1   <Class::SQLite3::Database>#allocate
  0.00      0.000     0.000     0.000     0.000        6  *PrettyPrint#nest
  0.00      0.000     0.000     0.000     0.000        1   Pry::History#initialize
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#split_userinfo
  0.00      0.000     0.000     0.000     0.000        1   Array#[]=
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#allocate
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_registry
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_userinfo
  0.00      0.000     0.000     0.000     0.000        1   <Class::REXML::XMLDecl>#default
  0.00      0.000     0.000     0.000     0.000        6   REXML::Child#initialize
  0.00      0.000     0.000     0.000     0.000        2  *PP::PPMethods#seplist
  0.00      0.000     0.000     0.000     0.000        1   Slop#extract_short_flag
  0.00      0.000     0.000     0.000     0.000        1   <Class::Delegator>#const_missing
  0.00      0.000     0.000     0.000     0.000        3   String#size
  0.00      0.000     0.000     0.000     0.000        1   Array#compact
  0.00      0.000     0.000     0.000     0.000        1   URI::HTTP#initialize
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::PluginHost#map
  0.00      0.000     0.000     0.000     0.000        4   OptionParser#top
  0.00      0.000     0.000     0.000     0.000        1   Pry::CommandSet#import
  0.00      0.000     0.000     0.000     0.000        2   URI::Generic#default_port
  0.00      0.074     0.000     0.000     0.074        1   CodeRay::PluginHost#const_missing
  0.00      0.000     0.000     0.000     0.000        1   HTTPClient::Site#initialize
  0.00      0.000     0.000     0.000     0.000        1   <Module::CodeRay::PluginHost>#extended
  0.00      0.000     0.000     0.000     0.000        1   Pry::PluginManager#plugins
  0.00      0.000     0.000     0.000     0.000        1   Pry::Config#hooks=
  0.00      0.000     0.000     0.000     0.000        1   OptionParser#base
  0.00      0.000     0.000     0.000     0.000        1   <Object::OpenStruct>#file
  0.00      0.000     0.000     0.000     0.000        6   BasicObject#initialize
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint::GroupQueue#initialize
  0.00      0.000     0.000     0.000     0.000        2   Numeric#pretty_print
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry>#plugins
  0.00      0.059     0.000     0.000     0.059        1   Kernel#tap
  0.00      0.021     0.000     0.000     0.021        1   Slop#clean
  0.00      0.000     0.000     0.000     0.000        2   <Class::URI::Generic>#default_port
  0.00      0.000     0.000     0.000     0.000        3   String#ord
  0.00      0.000     0.000     0.000     0.000        1   Pry::PluginManager#initialize
  0.00      0.000     0.000     0.000     0.000        4   Module#>=
  0.00      0.000     0.000     0.000     0.000        1   <Module::Gem>#paths
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint::Text#output
  0.00      0.000     0.000     0.000     0.000        1   <Class::Thread>#abort_on_exception=
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::PluginHost#make_plugin_hash
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#add_options
  0.00      0.015     0.000     0.000     0.015        1   Hash#default
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#process_options
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint::Text#initialize
  0.00      0.000     0.000     0.000     0.000        1   <Class::Delegator>#public_api
  0.00      0.000     0.000     0.000     0.000        1   String#*
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::PluginHost#register
  0.00      0.000     0.000     0.000     0.000        1   OptionParser#order!
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gem::Specification>#_resort!
  0.00      0.000     0.000     0.000     0.000        1   Module#initialize
  0.00      0.001     0.000     0.000     0.001        6  *PrettyPrint#group
  0.00      0.000     0.000     0.000     0.000        3   Range#first
  0.00      0.000     0.000     0.000     0.000        1   <Module::URI>#parse
  0.00      0.000     0.000     0.000     0.000        2  *Array#pretty_print
  0.00      0.000     0.000     0.000     0.000        1   Pry::Hooks#initialize
  0.00      0.000     0.000     0.000     0.000        2   PrettyPrint::Group#break?
  0.00      0.000     0.000     0.000     0.000        2   Array#clear
  0.00      0.000     0.000     0.000     0.000        1   Method#to_proc
  0.00      0.000     0.000     0.000     0.000        4   <Class::OptionParser::Switch::NoArgument>#incompatible_argument_styles
  0.00      0.000     0.000     0.000     0.000        1   <Object::Object>#include?
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_query
  0.00      0.000     0.000     0.000     0.000        1   Enumerator#with_index
  0.00      0.000     0.000     0.000     0.000        2   Enumerable#any?
  0.00      0.000     0.000     0.000     0.000        1   Enumerable#each_with_index
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_scheme
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_host
  0.00      0.000     0.000     0.000     0.000        2   NilClass#nil?
  0.00      0.000     0.000     0.000     0.000        2   <Module::URI>#scheme_list
  0.00      0.000     0.000     0.000     0.000        1   REXML::Encoding#find_encoding
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_path
  0.00      0.000     0.000     0.000     0.000        1   Slop#strict?
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint#current_group
  0.00      0.000     0.000     0.000     0.000        1   REXML::XMLDecl#nowrite
  0.00      0.000     0.000     0.000     0.000        1   Module#const_get
  0.00      0.000     0.000     0.000     0.000        1   PrettyPrint#flush
  0.00      0.000     0.000     0.000     0.000        2   Kernel#untrust
  0.00      0.000     0.000     0.000     0.000        1   REXML::XMLDecl#dowrite
  0.00      0.000     0.000     0.000     0.000        1   Proc#arity
  0.00      0.000     0.000     0.000     0.000        3   Range#last
  0.00      0.000     0.000     0.000     0.000        1   Pry::Config#input=
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_opaque
  0.00      0.000     0.000     0.000     0.000        1   URI::Generic#set_fragment

* indicates recursively called methods
