/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"101.Bach_Concerto_No.1_in_D_minor,_BWV_1052_-_1._Allegro.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"102.Bach_Concerto_No.1_in_D_minor,_BWV_1052_-_2._Adagio.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"103.Bach_Concerto_No.1_in_D_minor,_BWV_1052_-_3._Allegro.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"104.Bach_Concerto_No.2_in_E_major,_BWV_1053_-_1._ohne_Satzbezeichnung.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"105.Bach_Concerto_No.2_in_E_major,_BWV_1053_-_2._Siciliano.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"106.Bach_Concerto_No.2_in_E_major,_BWV_1053_-_3._Allegro.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"107.Bach_Concerto_No.7_in_G_minor,_BWV_1058_-_1._ohne_Satzbezeichnung.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"108.Bach_Concerto_No.7_in_G_minor,_BWV_1058_-_2._Andante.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"109.Bach_Concerto_No.7_in_G_minor,_BWV_1058_-_3._Allegro_assai.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"201.Bach_Concerto_No.3_in_D_major,_BWV_1054_-_1._ohne_Satzbezeichnung.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"202.Bach_Concerto_No.3_in_D_major,_BWV_1054_-_2._Adagio_e_piano_sempre.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"203.Bach_Concerto_No.3_in_D_major,_BWV_1054_-_3._Allegro.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"204.Bach_Concerto_No.4_in_A_major,_BWV_1055_-_1._Allegro.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"205.Bach_Concerto_No.4_in_A_major,_BWV_1055_-_2._Larghetto.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"206.Bach_Concerto_No.4_in_A_major,_BWV_1055_-_3._Allegro_ma_non_troppo.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"207.Bach_Concerto_No.5_in_F_minor,_BWV_1056_-_1._ohne_Satzbezeichnung.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"208.Bach_Concerto_No.5_in_F_minor,_BWV_1056_-_2._Largo.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"209.Bach_Concerto_No.5_in_F_minor,_BWV_1056_-_3._Presto.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"210.Bach_Concerto_No.6_in_F_major,_BWV_1057_-_1._ohne_Satzbezeichnung.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"211.Bach_Concerto_No.6_in_F_major,_BWV_1057_-_2._Andante.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Andreas_Staier-Bach_Harpsichord_Concertos,"212.Bach_Concerto_No.6_in_F_major,_BWV_1057_-_3._Allegro_assai.flac",Bach: Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Bach_Concertoes_Pinnock,101.Cembalokonzert_d-moll_BWV_1052_-_1._Allegro.flac,Bach: Complete Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Bach_Concertoes_Pinnock,102.Cembalokonzert_d-moll_BWV_1052_-_2._Adagio.flac,Bach: Complete Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Bach_Concertoes_Pinnock,103.Cembalokonzert_d-moll_BWV_1052_-_3._Allegro.flac,Bach: Complete Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Bach_Concertoes_Pinnock,104.Cembalokonzert_E-dur_BWV_1053_-_1._--.flac,Bach: Complete Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Bach_Concertoes_Pinnock,105.Cembalokonzert_E-dur_BWV_1053_-_2._Siciliano.flac,Bach: Complete Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Bach_Concertoes_Pinnock,106.Cembalokonzert_E-dur_BWV_1053_-_3._Allegro.flac,Bach: Complete Harpsichord Concertos
/home/james/Music/flac//classical/baroque/Bach_Concertoes_Pinnock,107.Cembalokonzert_D-dur_BWV_1054_-_1._--.flac,Bach: Complete Harpsichord Concertos
